# number	RA[deg]	dec[deg]	Vmagnitude
2385	98.400417	14.155278	5.53
2386	98.195417	-10.833611	6.24
2387	97.895833	-35.060000	6.34
2388	99.422500	61.481111	5.94
2389	98.407917	-0.779722	5.10
2390	100.134167	71.748889	5.92
2391	98.162500	-31.969444	5.69
2392	98.800417	28.022222	5.27
2393	98.088750	-36.303333	5.24
2394	97.826250	-50.173889	5.60
2395	101.558750	79.564722	5.45
2396	99.410417	56.857500	5.85
2397	98.360833	-19.076111	6.40
2398	98.693333	7.572500	6.45
2399	99.137083	38.445278	5.29
2400	98.823333	9.988333	5.88
2401	98.292917	-37.374722	6.44
2402	97.512500	-64.431667	6.29
2403	98.815833	0.890000	5.80
2404	97.794167	-60.120278	6.15
2405	98.456250	-35.767778	5.42
2406	97.993333	-57.245833	5.70
2407	99.000000	4.497500	6.55
2408	98.764167	-21.035278	4.54
2409	98.647083	-31.283611	5.62
2410	98.358750	-51.671111	6.19
2411	99.363333	24.590833	6.44
2412	99.147083	-4.788889	5.52
2413	99.664583	39.390833	5.69
2414	99.705000	39.902500	5.20
2415	99.427917	16.399167	1.93
2416	99.350417	6.135278	6.06
2417	99.095000	-17.340000	5.70
2418	98.850417	-35.220000	5.59
2419	99.595833	28.984167	5.79
2420	99.403750	10.853056	6.38
2421	99.832917	42.488889	4.79
2422	99.194583	-12.679167	5.97
2423	99.170833	-18.744167	3.95
2424	99.417917	2.704167	6.17
2425	98.975000	-35.911111	6.35
2426	99.469583	4.957222	6.15
2427	99.170417	-21.385000	6.35
2428	99.991667	44.013889	6.41
2429	98.744167	-51.024444	4.39
2430	99.772083	22.030833	6.04
2431	99.420417	-11.015000	6.12
2432	99.887917	28.263056	6.03
2433	99.880833	24.600000	6.38
2434	99.585417	-1.456389	6.14
2435	99.706250	4.700556	6.57
2436	99.658750	1.613611	6.21
2437	99.472500	-17.762500	4.43
2438	99.257917	-37.853333	6.04
2439	99.213750	-40.443056	6.34
2440	99.307500	-35.009444	5.71
2441	99.448333	-31.660278	5.27
2442	99.647500	-15.126389	6.03
2443	99.948333	12.983056	5.97
2444	99.819583	-13.854167	4.82
2445	99.440417	-42.803889	3.17
2446	100.407083	35.931944	6.46
2447	100.337500	28.196389	6.42
2448	100.132500	6.371667	6.51
2449	99.901250	-22.304444	6.05
2450	100.244583	9.895556	4.66
2451	100.340833	16.397500	6.28
2452	100.321667	11.003333	6.11
2453	100.770833	44.524444	5.02
2454	99.927917	-29.529722	5.71
2455	100.272500	0.495278	5.79
2456	99.656667	-47.779722	4.93
2457	101.048333	53.296389	6.27
2458	100.807500	37.146944	6.19
2459	99.987083	-37.841111	6.58
2460	100.601250	17.645278	5.21
2461	100.497083	6.345000	6.37
2462	99.502500	-60.466944	6.18
2463	100.485000	-8.832778	5.19
2464	101.558750	59.441667	4.87
2465	101.052500	36.109722	6.31
2466	100.982917	25.131111	2.98
2467	100.777083	3.033333	6.19
2468	100.308750	-39.650278	6.12
2469	100.205417	-46.325278	6.65
2470	101.706250	57.169167	5.35
2471	100.997083	13.227778	4.49
2472	100.911250	3.932222	5.90
2473	101.189583	28.970833	5.44
2474	100.690833	-21.550833	6.13
2475	100.568333	-37.601389	6.29
2476	101.684583	43.577500	5.25
2477	101.322500	12.895556	3.36
2478	102.053750	55.704444	6.33
2479	102.051250	55.704444	6.28
2480	101.915000	48.789444	5.22
2481	100.847083	-38.806667	6.30
2482	101.475833	12.693611	6.46
2483	102.737917	67.571944	5.14
2484	101.287083	-15.283889	-1.46
2485	101.118333	-30.929444	5.20
2486	101.216250	-26.658611	6.45
2487	101.635000	8.587222	5.93
2488	101.347083	-22.538056	6.05
2489	101.260000	-29.413889	6.54
2490	101.497083	-13.203889	5.32
2491	101.847917	18.193333	6.20
2492	101.345000	-30.206389	5.92
2493	101.380417	-29.051111	5.80
2494	101.662500	-9.892778	5.66
2495	101.832500	8.037222	4.77
2496	101.712917	-13.574167	5.29
2497	100.240833	-70.224444	6.51
2498	101.965000	2.412222	4.47
2499	101.513750	-38.460000	6.62
2500	101.904583	-7.001667	5.07
2501	101.756250	-20.984444	6.08
2502	101.550417	-36.224444	6.21
2503	103.425833	68.888333	5.12
2504	102.422083	32.606667	5.71
2505	101.358750	-51.798889	6.57
2506	102.079167	-0.680833	5.75
2507	101.473750	-51.590000	5.80
2508	102.691250	41.781389	5.02
2509	102.265417	1.001944	6.15
2510	101.839167	-36.070278	5.26
2511	102.457500	16.202778	5.85
2512	103.271250	59.448611	5.33
2513	102.318333	-1.728056	5.74
2514	102.240833	-14.855278	5.39
2515	101.720000	-50.734167	5.40
2516	101.672917	-53.305278	6.46
2517	102.606250	13.413333	5.65
2518	101.827917	-54.460000	5.61
2519	105.016667	76.977500	4.55
2520	102.433333	-23.924167	6.33
2521	102.887500	21.761111	5.27
2522	102.707917	0.540833	5.77
2523	100.903333	-72.881944	6.37
2524	103.281667	44.839444	6.26
2525	103.000000	23.601667	5.65
2526	102.676250	-7.958889	6.29
2527	102.591250	-16.916111	5.79
2528	101.233750	-69.566111	6.11
2529	102.525000	-26.666111	7.04
2530	102.460417	-31.491389	3.96
2531	103.256250	38.869167	6.12
2532	103.197083	33.961111	3.60
2533	103.305833	38.438056	6.30
2534	103.264167	35.788611	6.01
2535	102.913750	3.041667	6.38
2536	102.653750	-24.221944	6.33
2537	102.597083	-30.293889	5.70
2538	102.490833	-44.550000	6.55
2539	103.487500	38.505000	6.48
2540	102.477500	-45.385278	5.14
2541	102.718333	-33.632778	4.99
2542	102.047500	-60.058611	3.27
2543	103.205833	8.380278	5.77
2544	103.095417	-4.683889	6.30
2545	102.484167	-49.385278	2.93
2546	102.463750	-52.377778	4.40
2547	103.343750	10.996389	6.24
2548	103.813333	45.826389	6.34
2549	103.811250	43.910000	6.13
2550	102.926250	-35.769722	5.96
2551	100.011250	-79.186389	5.64
2552	104.318750	58.422500	4.35
2553	104.305000	57.563333	6.05
2554	102.504583	-59.750833	6.11
2555	102.886667	-47.707500	6.42
2556	103.661250	13.177778	4.65
2557	103.328333	-18.967222	5.64
2558	103.340417	-17.066667	6.14
2559	103.250417	-25.042500	6.40
2560	104.134583	46.274167	5.87
2561	103.827500	25.375556	5.73
2562	103.535417	-4.147500	6.41
2563	103.387083	-19.775833	4.83
2564	103.602500	-0.873056	5.45
2565	104.233333	46.705000	5.86
2566	103.547500	-11.961389	4.07
2567	103.165417	-41.495556	6.52
2568	103.391250	-27.460278	6.04
2569	103.675417	-0.243611	6.21
2570	103.480417	-23.460833	6.21
2571	103.196250	-42.024167	6.46
2572	103.532917	-23.816111	3.87
2573	105.339583	70.808056	5.68
2574	103.745000	-1.196389	6.04
2575	103.554167	-22.071667	6.91
2576	103.894167	8.324722	6.29
2577	104.404583	45.094167	4.90
2578	104.252083	33.681111	5.89
2579	103.195417	-53.910000	6.57
2580	103.761250	-19.595278	5.74
2581	104.107500	9.956389	5.92
2582	103.905833	-19.863611	4.68
2583	103.611250	-41.634444	6.32
2584	103.189167	-58.658889	6.41
2585	104.027500	-13.956389	5.00
2586	103.509583	-49.388333	6.26
2587	103.945000	-21.058611	5.30
2588	104.034167	-16.945833	4.37
2589	104.357083	11.907500	6.27
2590	103.978333	-30.210000	6.36
2591	104.250417	-7.821111	6.34
2592	104.761667	38.052222	6.00
2593	104.697500	26.081111	6.10
2594	102.862500	-69.036667	5.40
2595	104.311667	-21.796667	6.61
2596	104.190417	-34.658333	6.29
2597	104.866250	25.914167	6.40
2598	104.662500	7.621944	6.27
2599	104.391250	-23.369444	5.46
2600	104.066667	-47.278889	4.95
2601	115.127083	87.020000	5.07
2602	104.737500	3.602222	5.97
2603	104.426667	-26.462500	6.23
2604	104.323333	-34.492500	6.23
2605	104.833750	7.316944	6.35
2606	104.531667	-26.835278	6.37
2607	105.065833	16.078889	5.68
2608	104.649583	-24.586111	5.59
2609	106.465833	70.731944	6.50
2610	104.656250	-27.027778	1.50
2611	104.604583	-33.888333	5.06
2612	105.321667	32.414444	6.59
2613	104.682500	-29.002222	6.42
2614	105.075000	-4.633056	6.30
2615	104.913750	-20.396667	6.26
2616	105.098750	-7.593056	5.96
2617	105.033750	-19.841111	6.31
2618	104.674167	-44.231944	6.22
2619	105.163750	-8.796944	6.49
2620	105.080417	-21.880556	6.53
2621	105.422500	4.818056	6.63
2622	105.603333	24.215278	5.18
2623	105.606250	17.755556	5.94
2624	105.572500	15.336111	5.74
2625	105.479167	5.557500	6.59
2626	104.665000	-54.270556	6.27
2627	105.639583	16.674167	5.82
2628	105.470417	-0.654444	6.17
2629	105.177500	-27.510556	6.27
2630	104.650833	-55.605278	6.45
2631	105.485000	-4.277778	5.20
2632	105.274583	-24.784722	5.63
2633	105.207500	-32.534722	6.40
2634	106.505417	59.801944	6.44
2635	105.876667	29.337222	5.93
2636	106.415833	52.758056	6.12
2637	106.287500	47.775000	6.38
2638	105.429583	-26.065278	3.47
2639	105.824583	9.138333	5.97
2640	105.728333	-3.760833	4.99
2641	105.908333	10.951667	5.13
2642	106.027083	20.570278	3.79
2643	105.965000	12.594444	5.98
2644	105.214583	-50.597500	5.14
2645	105.756250	-22.166667	3.02
2646	106.084167	1.488333	6.57
2647	106.021667	-4.676389	5.62
2648	105.988750	-9.875833	6.45
2649	105.939583	-14.366667	4.12
2650	105.565000	-42.595833	6.43
2651	106.326667	22.637222	6.02
2652	106.548333	34.473889	5.55
2653	105.271250	-57.060000	6.02
2654	104.960417	-66.083889	5.17
2655	106.412917	9.185833	5.78
2656	106.196250	-21.967778	6.09
2657	106.842917	34.009444	5.91
2658	106.011667	-41.662778	5.20
2659	105.988750	-42.391944	5.54
2660	105.995000	-42.388333	6.79
2661	106.854167	28.177222	6.48
2662	106.457083	-9.338889	6.49
2663	106.839167	22.703611	7.68
2664	105.973750	-48.416111	4.93
2665	107.055417	33.832222	6.28
2666	105.815000	-58.821944	5.50
2667	107.151250	37.445000	6.16
2668	106.776667	4.910278	6.11
2669	106.383333	-33.222222	6.14
2670	106.669583	-10.705833	5.39
2671	106.649583	-11.606111	6.48
2672	106.502500	-29.344444	6.34
2673	108.492083	71.816667	6.35
2674	106.956250	7.471111	5.75
2675	106.076250	-55.250278	5.17
2676	107.091667	15.930833	5.44
2677	106.509583	-37.617222	6.11
2678	106.717917	-23.039444	6.08
2679	106.318750	-49.639722	6.46
2680	106.750417	-25.342222	6.62
2681	104.143333	-78.579722	5.45
2682	106.844167	-22.159722	5.71
2683	106.779583	-39.106667	5.79
2684	107.527917	21.246944	6.43
2685	107.097917	-25.606667	1.84
2686	107.334583	-9.652778	6.21
2687	107.205417	-23.955833	6.65
2688	107.913750	39.320556	4.90
2689	107.785000	30.245278	4.41
2690	106.805417	-50.032222	5.96
2691	107.388333	-15.765278	6.03
2692	107.846250	26.856667	5.78
2693	107.557083	-3.762778	4.92
2694	107.212917	-38.344167	4.83
2695	108.347500	51.428889	5.47
2696	107.428750	-24.768889	5.69
2697	107.538750	-17.314722	6.23
2698	108.110000	24.128333	5.85
2699	107.848333	0.301944	5.45
2700	107.580833	-26.508611	5.46
2701	111.341250	81.257500	6.31
2702	107.963750	5.654722	6.09
2703	108.204167	27.224722	6.43
2704	106.558750	-67.162778	6.47
2705	108.030833	5.474722	6.16
2706	107.966250	0.492778	4.15
2707	108.978750	59.637500	5.20
2708	107.923333	-19.116944	5.84
2709	108.342917	16.158889	5.00
2710	108.050833	-24.057500	5.92
2711	107.697917	-47.067778	5.14
2712	108.017083	-29.178333	6.10
2713	108.958750	47.240000	5.58
2714	108.610833	24.710833	6.89
2715	108.280000	-10.748611	5.78
2716	108.100417	-26.525833	6.59
2717	108.674583	24.885000	5.82
2718	108.107083	-35.455556	5.96
2719	108.065833	-39.501111	5.31
2720	108.635833	12.115833	5.62
2721	108.583333	3.111389	5.35
2722	108.349583	-21.326667	6.01
2723	108.545833	-2.098611	5.75
2724	108.564583	-8.052500	5.90
2725	108.451250	-21.093611	6.36
2726	108.401250	-26.643611	6.12
2727	107.175833	-69.502778	5.69
2728	107.187083	-69.501111	3.78
2729	109.390417	52.130833	5.92
2730	108.987917	27.897500	5.71
2731	108.617500	-9.683333	6.03
2732	108.140000	-45.240556	4.49
2733	108.446250	-30.916111	6.60
2734	112.768333	82.411389	4.96
2735	108.488333	-29.660000	6.33
2736	108.830417	0.161389	6.41
2737	108.563333	-25.647500	4.66
2738	108.305833	-44.816944	4.89
2739	108.914167	7.977778	5.82
2740	108.385000	-43.360278	5.10
2741	108.702917	-25.227222	3.85
2742	108.712917	-26.961944	5.58
2743	109.632917	49.465000	5.05
2744	108.929583	-9.416111	5.95
2745	109.509167	40.883333	5.78
2746	108.008333	-62.810000	6.02
2747	108.947917	-22.259444	6.32
2748	108.837500	-29.313611	5.36
2749	109.517083	30.955833	6.24
2750	109.060417	-14.414167	5.46
2751	108.737917	-40.574167	5.94
2752	109.324167	6.680556	6.65
2753	108.691250	-45.150278	5.72
2754	108.659167	-47.728333	4.76
2755	109.523333	16.540278	3.58
2756	109.153333	-22.684444	4.79
2757	109.382083	-5.320000	6.29
2758	109.145833	-26.118889	4.64
2759	108.837500	-51.500278	5.97
2760	109.238333	-29.103333	6.32
2761	109.132500	-37.681111	5.80
2762	109.206250	-35.407222	5.03
2763	109.064583	-45.225556	5.66
2764	110.571667	59.901944	6.35
2765	109.285833	-36.902500	2.70
2766	109.449583	-25.202500	6.46
2767	110.262917	42.655556	6.35
2768	110.322917	45.228056	5.77
2769	110.030833	21.982222	3.53
2770	109.843333	2.740556	5.89
2771	109.948333	7.142778	5.91
2772	110.028750	15.142778	6.45
2773	109.667917	-23.441111	4.98
2774	109.676667	-23.045833	4.40
2775	110.712083	55.284444	6.53
2776	110.717083	55.281389	5.45
2777	109.758333	-18.719722	6.09
2778	109.713333	-25.414167	5.28
2779	109.576667	-35.265833	4.66
2780	109.867083	-15.605000	5.70
2781	109.517500	-42.013333	5.85
2782	109.659167	-35.257222	5.11
2783	109.640000	-38.789722	5.25
2784	110.555833	38.996111	6.40
2785	110.510833	36.760556	5.13
2786	109.807083	-32.272778	6.30
2787	110.486667	20.443611	5.10
2788	110.242500	-13.640000	5.45
2789	113.665417	80.896667	6.41
2790	110.320417	-7.121667	6.55
2791	110.221667	-21.148333	6.61
2792	110.229167	-25.036389	6.01
2793	110.514583	0.177222	5.99
2794	110.267917	-24.108611	5.87
2795	109.207500	-66.042778	3.98
2796	111.238333	51.887222	5.80
2797	111.035417	40.672222	5.19
2798	110.508333	-7.020833	6.43
2799	110.577083	-1.021111	6.23
2800	110.868750	25.050556	5.03
2801	111.857500	66.331667	6.47
2802	110.867500	22.945278	6.02
2803	110.605833	-4.017222	5.82
2804	110.556250	-18.983333	4.96
2805	110.089167	-51.688333	6.05
2806	110.090417	-51.690278	6.60
2807	110.161250	-51.913889	5.39
2808	111.139167	27.638056	5.76
2809	111.115417	15.517222	6.41
2810	111.678333	49.211389	4.64
2811	110.752500	-30.076111	5.43
2812	111.242500	11.669722	5.30
2813	111.431667	27.798056	3.79
2814	110.871250	-26.165833	5.38
2815	110.882917	-31.797778	5.39
2816	110.976250	-29.783056	6.60
2817	111.167083	-15.798889	5.33
2818	111.071667	-21.087222	6.19
2819	111.023750	-28.696944	2.45
2820	111.412083	9.276111	4.99
2821	110.992917	-34.162222	6.31
2822	112.719583	68.465556	5.64
2823	111.211250	-18.987778	6.24
2824	111.284583	-12.248056	5.78
2825	111.462500	-4.225000	5.97
2826	111.182500	-30.191111	5.35
2827	111.709167	21.535833	6.54
2828	111.616250	10.608333	6.37
2829	111.734583	20.257222	5.93
2830	111.514583	-3.462500	6.76
2831	111.332917	-20.017222	6.05
2832	111.672083	11.009167	6.41
2833	111.355417	-24.782222	5.78
2834	111.196667	-36.710000	6.97
2835	111.197083	-36.709167	6.84
2836	112.215000	48.183889	5.72
2837	111.787500	8.289444	2.90
2838	111.935000	21.445000	5.22
2839	111.429167	-30.261389	6.31
2840	101.744583	-86.975000	6.47
2841	112.483333	49.672500	5.36
2842	111.669583	-22.287778	6.56
2843	112.008750	6.941944	5.25
2844	112.277917	31.784444	4.18
2845	111.783333	-16.135556	5.63
2846	112.040833	8.925556	4.32
2847	111.747500	-22.913889	5.61
2848	111.676250	-33.859167	5.90
2849	112.335000	28.118056	5.05
2850	112.197083	15.109444	6.22
2851	111.965417	-10.443056	5.79
2852	111.928750	-21.140278	5.95
2853	112.452917	27.916111	5.01
2854	111.591250	-50.981667	5.10
2855	111.996667	-28.844167	5.54
2856	112.449167	12.006667	4.54
2857	112.327917	-0.094722	5.59
2858	112.357083	-6.448889	5.86
2859	112.342083	-9.673333	5.75
2860	112.341250	-13.000833	6.05
2861	112.095000	-36.189722	6.58
2862	112.213750	-30.151667	6.38
2863	112.214583	-30.153056	7.13
2864	112.982083	38.896389	6.54
2865	112.270417	-30.543611	5.77
2866	112.464167	-22.975556	4.85
2867	112.273750	-37.187778	5.43
2868	112.712917	-4.773611	6.24
2869	112.951667	17.086111	5.42
2870	112.307500	-42.698611	3.25
2871	113.210833	22.887778	6.54
2872	113.024583	1.914444	5.25
2873	112.677083	-29.037778	4.65
2874	112.676667	-36.660278	6.65
2875	113.024167	-7.119167	5.90
2876	112.498333	-51.348889	5.87
2877	112.857500	-35.847222	6.68
2878	113.402083	15.826667	5.25
2879	113.298333	3.290278	5.59
2880	112.213750	-63.490000	6.39
2881	112.928333	-34.112222	6.61
2882	113.650000	31.888611	2.88
2883	113.650000	31.888333	1.98
2884	112.628750	-53.600556	5.96
2885	113.521250	10.568333	6.28
2886	114.195833	55.755278	5.92
2887	113.092917	-34.038611	6.30
2888	113.786250	30.961111	5.33
2889	113.342083	-13.661667	6.21
2890	113.983333	43.031111	6.30
2891	113.331250	-18.587500	5.66
2892	113.290417	-23.289167	5.85
2893	113.565833	3.371389	5.81
2894	113.449583	-13.476111	4.97
2895	114.131667	46.180278	5.65
2896	113.691667	2.725000	6.55
2897	113.980417	26.895833	4.06
2898	113.513333	-21.703889	4.45
2899	113.306250	-39.941111	6.26
2900	113.305417	-42.913611	6.52
2901	113.577500	-22.526389	5.83
2902	113.579583	-22.525278	5.87
2903	113.462500	-35.661667	5.54
2904	113.620000	-25.883333	6.65
2905	113.553333	-32.536667	6.11
2906	114.474583	48.773611	5.92
2907	114.324167	40.025278	6.38
2908	113.645417	-26.988056	5.77
2909	113.493750	-38.094167	6.76
2910	114.144583	5.861667	5.91
2911	111.408333	-78.905833	5.53
2912	114.069167	-7.688611	6.27
2913	114.016250	-13.507222	5.70
2914	113.845000	-27.630556	4.64
2915	114.032500	-21.839444	6.34
2916	114.636667	35.048611	5.56
2917	113.664583	-50.525278	6.28
2918	114.560417	24.360278	6.27
2919	114.319583	-3.888889	5.13
2920	114.170833	-18.297778	5.74
2921	115.206250	57.082778	6.06
2922	114.791250	34.584167	4.90
2923	114.799583	24.222500	6.17
2924	114.412083	-13.558889	6.53
2925	114.320000	-22.225000	6.37
2926	113.915417	-51.466111	4.94
2927	115.060833	38.344444	5.73
2928	114.975417	32.009722	6.17
2929	114.342083	-33.031389	4.53
2930	114.869167	17.674722	5.05
2931	115.301667	48.131667	5.56
2932	114.182917	-47.169722	5.72
2933	114.007083	-54.112500	6.39
2934	114.436667	-34.722778	6.60
2935	114.825417	5.225000	0.38
2936	114.575000	-24.635278	4.70
2937	114.438333	-37.989444	6.38
2938	115.751667	58.710278	4.99
2939	114.779583	-17.320833	6.72
2940	114.705417	-25.198333	4.50
2941	114.707500	-25.196389	4.62
2942	115.029167	5.230833	6.02
2943	115.243750	23.018611	5.89
2944	114.600833	-38.008611	6.59
2945	115.197083	13.770833	6.24
2946	114.682917	-35.503056	5.80
2947	114.635833	-37.218889	6.19
2948	114.862083	-25.136944	6.50
2949	114.575833	-47.398889	5.68
2950	115.147917	-7.814167	6.01
2951	115.096667	-14.736389	4.94
2952	115.056667	-18.339167	5.93
2953	114.864167	-37.691667	4.84
2954	115.681250	34.000278	6.02
2955	114.932500	-37.860556	5.73
2956	114.949167	-37.739167	5.76
2957	115.465833	13.480556	5.77
2958	115.396667	3.624722	5.94
2959	115.513333	14.208333	5.56
2960	114.991667	-36.420556	6.00
2961	116.017500	50.433889	5.27
2962	115.311667	-8.448889	3.93
2963	114.751667	-52.726667	6.06
2964	115.180833	-26.054167	6.76
2965	115.827917	28.883611	4.28
2966	115.219583	-30.339167	6.56
2967	116.667083	65.455833	5.92
2968	115.348333	-21.662778	6.18
2969	116.614167	62.830556	6.49
2970	115.842500	22.399444	6.21
2971	113.840417	-73.724444	7.16
2972	113.840833	-73.724444	7.26
2973	115.315833	-37.466389	5.42
2974	115.772500	0.189444	6.19
2975	116.028750	25.784167	5.31
2976	115.340833	-43.367778	6.41
2977	116.111667	24.398056	3.57
2978	115.491667	-37.471111	6.54
2979	116.058333	12.859444	6.43
2980	115.700417	-25.648889	5.64
2981	116.030833	2.405000	6.47
2982	116.328750	28.026111	1.14
2983	116.288750	20.316389	6.33
2984	115.912917	-24.496111	6.55
2985	115.885000	-27.588889	4.59
2986	115.800000	-35.949722	5.60
2987	115.779167	-37.135833	6.89
2988	115.952083	-27.045278	3.96
2989	119.072083	80.265556	6.56
2990	115.738333	-44.826667	5.06
2991	116.663750	37.517500	5.18
2992	114.017500	-76.365833	6.18
2993	115.928750	-37.798056	6.40
2994	115.924583	-39.066111	5.17
2995	116.530833	18.510000	4.88
2996	116.141667	-23.326111	5.62
2997	115.778750	-48.007222	6.57
2998	115.542500	-57.369167	6.43
2999	116.040000	-35.937222	5.80
3000	116.567500	10.768333	5.30
3001	116.369583	-13.313889	6.89
3002	116.371250	-13.309167	6.07
3003	116.142500	-36.056944	5.88
3004	115.722083	-57.770000	6.21
3005	116.876250	33.415556	5.14
3006	116.509167	-5.227500	5.49
3007	116.487083	-13.436111	5.04
3008	116.269167	-36.112222	6.54
3009	116.313750	-36.031389	3.61
3010	116.395833	-33.826944	5.37
3011	116.687083	-11.324722	6.39
3012	116.325417	-42.247778	6.03
3013	117.140000	23.141111	6.18
3014	116.543333	-36.066111	5.88
3015	116.802083	-21.480278	5.90
3016	115.455000	-71.393889	3.95
3017	116.639167	-39.940278	6.57
3018	116.910417	-14.009167	6.34
3019	116.938333	-15.985556	6.43
3020	117.773750	54.129167	6.02
3021	116.986250	-11.806944	5.48
3022	117.258333	13.370833	6.04
3023	116.398333	-55.277500	6.12
3024	116.774167	-38.668611	6.31
3025	117.245417	4.332778	6.53
3026	117.021667	-24.062778	4.50
3027	116.854167	-37.488889	5.08
3028	116.182917	-65.928056	6.38
3029	116.881250	-45.391389	5.23
3030	116.054167	-68.178611	6.18
3031	118.152500	55.209444	6.38
3032	117.759583	33.233611	6.03
3033	117.035417	-39.347778	6.14
3034	117.369167	-12.646667	6.23
3035	117.257083	-23.087778	5.33
3036	117.421667	-16.771667	5.18
3037	117.323750	-23.140278	3.34
3038	117.084583	-46.922222	4.71
3039	117.544167	-8.816667	5.61
3040	117.438333	-19.793056	6.56
3041	117.311250	-34.756667	5.93
3042	117.697500	3.277222	6.18
3043	117.523750	-18.476389	6.12
3044	117.397500	-32.711111	5.60
3045	117.986250	19.325278	5.99
3046	117.730000	-10.871389	6.16
3047	117.309583	-45.626667	4.11
3048	117.080000	-55.528889	6.33
3049	117.367500	-43.248056	6.32
3050	117.303750	-45.142222	5.84
3051	117.925000	1.766944	5.14
3052	117.750000	-23.471667	6.45
3053	118.030000	3.277222	6.31
3054	117.277917	-55.589444	5.59
3055	117.920417	-11.180556	6.36
3056	117.942917	-12.101944	5.17
3057	118.622083	47.386111	6.25
3058	118.677917	47.564722	5.45
3059	118.374167	26.765833	4.97
3060	117.928750	-20.826111	5.63
3061	117.676667	-43.420278	6.45
3062	117.303750	-59.716389	5.78
3063	117.599583	-49.490278	5.91
3064	118.199583	-4.571944	5.76
3065	118.078750	-13.153611	5.69
3066	117.835417	-42.904444	6.32
3067	120.048750	73.918056	5.41
3068	117.478333	-59.948889	6.72
3069	119.111667	56.504444	6.72
3070	117.917917	-41.111667	6.04
3071	118.065417	-33.294722	5.01
3072	118.054167	-39.424167	3.73
3073	117.420833	-65.804167	5.79
3074	121.196250	79.479722	5.42
3075	118.920000	35.412778	6.23
3076	118.161250	-37.136944	4.49
3077	118.264583	-35.636111	5.43
3078	118.916250	19.883889	5.35
3079	118.880833	8.862778	5.86
3080	118.123750	-53.632778	5.70
3081	118.265417	-48.386944	4.63
3082	118.325833	-47.896944	4.24
3083	118.545833	-34.122500	5.49
3084	118.666250	-33.153056	6.15
3085	119.099583	4.485833	6.17
3086	119.569167	43.977500	6.34
3087	119.247500	15.790278	5.78
3088	118.807083	-29.082500	6.44
3089	119.316250	8.641389	6.05
3090	119.317500	1.126944	6.35
3091	119.095000	-29.714722	6.33
3092	118.752083	-51.416944	6.38
3093	118.943750	-42.155000	6.02
3094	119.214583	-21.120000	4.20
3095	119.524167	7.213611	6.41
3096	119.631250	16.518611	5.99
3097	118.721667	-56.696944	5.63
3098	120.336250	59.047500	5.77
3099	119.101250	-39.263611	6.78
3100	124.224167	84.057778	6.49
3101	120.426667	60.324444	6.01
3102	119.585833	2.224722	5.29
3103	119.241250	-41.593889	6.09
3104	120.628333	63.090278	6.40
3105	119.417083	-29.665278	4.79
3106	119.241250	-42.499722	5.35
3107	119.896250	13.242222	6.02
3108	119.326667	-43.890278	5.09
3109	119.194583	-51.017778	3.47
3110	119.333333	-46.109722	6.22
3111	120.649167	57.273611	6.49
3112	119.077500	-59.473611	5.74
3113	119.465833	-44.422222	5.17
3114	119.933750	-2.320278	4.93
3115	119.773750	-22.689444	5.11
3116	120.232917	25.392778	5.83
3117	120.200000	19.816111	6.25
3118	119.211250	-58.873611	6.25
3119	120.252917	23.583056	6.34
3120	120.197083	17.308611	5.55
3121	119.560000	-48.755000	4.41
3122	120.479583	35.413056	6.34
3123	119.966667	-17.600833	4.61
3124	120.432500	25.089722	6.31
3125	119.589167	-50.551389	6.44
3126	120.376250	16.455278	5.99
3127	120.183750	-1.118333	6.51
3128	120.307500	4.879722	5.65
3129	119.757500	-44.783889	5.99
3130	119.445417	-59.696667	5.60
3131	119.302083	-62.703056	6.14
3132	119.868333	-38.702778	5.24
3133	120.305417	-0.607500	4.68
3134	119.801250	-48.023333	6.32
3135	119.805833	-48.026389	6.34
3136	120.461250	8.913889	6.22
3137	120.566250	2.334444	4.39
3138	120.081667	-44.543056	6.61
3139	119.710417	-59.175556	5.81
3140	120.062083	-47.018611	6.02
3141	120.879583	27.794167	4.94
3142	120.608333	-5.662778	6.33
3143	120.120417	-47.128611	6.12
3144	119.917500	-59.792500	6.33
3145	119.906667	-59.413056	5.17
3146	120.405833	-36.716389	5.95
3147	120.525833	-36.949444	6.34
3148	120.207917	-53.848611	5.87
3149	120.345417	-53.485000	6.10
3150	121.188333	18.842222	6.15
3151	120.083333	-62.432500	4.82
3152	120.767083	-31.536111	5.82
3153	120.381250	-54.545000	6.28
3154	120.686667	-40.690000	5.52
3155	121.268750	13.118056	5.12
3156	121.404167	27.529722	6.21
3157	120.896250	-39.996667	2.25
3158	120.872917	-41.051389	6.29
3159	121.791250	43.260278	6.26
3160	121.172917	-18.271944	6.13
3161	121.576667	22.635556	5.99
3162	121.067500	-31.325000	5.31
3163	119.817083	-72.755278	6.34
3164	121.456667	0.573611	6.41
3165	122.114167	51.506667	4.84
3166	121.614583	-8.755000	6.23
3167	122.515833	58.248056	5.93
3168	121.940833	21.581667	5.30
3169	121.437083	-32.430833	6.14
3170	121.176667	-49.409444	5.95
3171	121.335000	-45.021111	6.19
3172	121.266667	-52.891944	5.53
3173	122.346250	42.430556	6.27
3174	123.203333	68.474167	5.32
3175	121.825000	-19.445278	5.38
3176	122.176667	13.640833	6.27
3177	121.885833	-23.695833	2.81
