# number	RA[deg]	dec[deg]	Vmagnitude
192	11.321667	55.221667	5.42
193	11.185000	-21.993889	5.24
194	11.237917	-41.323333	5.94
195	11.134583	-61.502222	6.07
196	11.662500	69.325000	6.33
197	11.350417	-3.370833	6.15
198	11.250000	-52.285000	6.15
199	11.369583	-11.119167	6.15
200	11.562917	55.305278	6.52
201	11.545417	44.861389	6.05
202	11.423750	-15.575833	6.47
203	11.676667	59.574444	6.39
204	11.942083	74.847500	5.41
205	11.440000	-46.448333	5.80
206	11.549167	-21.478056	5.50
207	11.637500	15.475556	5.38
208	12.037917	72.675000	5.87
209	11.756250	11.973889	5.50
210	11.806667	19.578889	6.13
211	11.834583	24.267222	4.06
212	11.848333	6.740833	5.99
213	11.978333	20.925278	6.54
214	11.930417	-17.938611	5.70
215	12.275000	57.815833	3.44
216	12.004583	-20.277500	5.57
217	12.072500	7.300000	5.93
218	12.095833	5.280556	5.75
219	12.208750	50.968333	4.89
220	12.170833	7.585000	4.43
221	12.244583	16.940556	5.07
222	12.453333	41.078889	4.53
223	12.356667	-12.438611	5.59
224	12.307917	-23.863611	5.90
225	12.236250	-45.302222	6.27
226	12.470000	27.710833	7.00
227	12.471667	27.710278	7.10
228	12.389167	-22.638333	6.28
229	12.681667	64.247500	5.39
230	12.576250	45.002222	6.15
231	12.531667	-9.355556	5.19
232	12.147500	-73.076667	5.07
233	12.818333	61.805833	6.07
234	12.739167	51.508056	6.39
235	12.515417	-42.605278	6.48
236	13.721250	83.707222	5.62
237	12.890417	51.571111	6.21
238	12.671667	-49.013056	5.22
239	12.826250	3.385000	6.37
240	13.267083	61.124167	4.82
241	12.967083	-42.290833	6.90
242	13.222500	38.548611	6.69
243	13.169167	-23.994167	5.46
244	13.252083	-0.855833	4.77
245	13.367500	37.418056	6.06
246	13.448333	52.689167	6.27
247	13.301667	-23.223056	6.46
248	13.101250	-68.495556	6.22
249	13.750417	58.972778	4.83
250	13.646667	19.188333	5.74
251	13.573333	-7.259167	6.16
252	13.771667	48.678611	6.27
253	13.407917	-61.128611	5.70
254	13.741667	23.628333	5.47
255	13.811250	24.556944	6.20
256	14.053750	57.996667	6.21
257	14.231667	68.776111	6.37
258	13.993750	27.209444	6.09
259	13.926667	-6.652778	5.85
260	14.177083	60.716667	2.47
261	14.165833	59.181111	4.63
262	14.196250	60.362778	5.55
263	14.006250	-10.733333	5.31
264	13.981250	-26.224444	6.10
265	14.188333	38.499444	3.87
266	13.751250	-68.473056	5.45
267	14.301667	23.417500	4.42
268	14.415417	45.839722	6.12
269	14.629583	66.352222	5.97
270	14.459167	28.992222	5.42
271	14.559167	33.950833	5.98
272	14.477083	13.695833	6.32
273	14.578750	21.404444	6.37
274	15.129167	70.983056	6.39
275	14.682917	-10.620000	5.61
276	14.651667	-28.642500	4.31
277	14.593333	-59.303611	6.23
278	15.014167	44.711111	6.84
279	15.015000	44.713333	6.04
280	14.957083	6.483056	6.11
281	17.186250	86.256944	4.25
282	23.460000	89.015556	6.46
283	15.576667	51.035000	6.47
284	15.326250	-37.083333	5.59
285	15.756250	47.376111	6.45
286	15.726250	41.345000	5.98
287	15.704583	31.804444	5.50
288	15.904167	61.075000	5.92
289	15.610000	-30.448056	5.50
290	15.735833	7.890000	4.28
291	15.507500	-56.997500	6.11
292	15.760833	-3.163333	5.43
293	16.081667	61.580278	5.84
294	16.010000	52.502222	5.99
295	15.705000	-45.602500	5.36
296	15.823333	-28.474167	6.29
297	15.954167	1.366667	6.04
298	16.195000	51.010000	6.54
299	16.115000	29.658611	6.19
300	15.678750	-64.543889	6.21
301	16.151667	39.991111	6.72
302	19.056250	87.145278	6.25
303	16.219167	5.656389	6.00
304	16.272500	14.946111	5.68
305	16.595000	62.761667	6.54
306	16.420417	21.473333	5.34
307	16.423750	21.465278	5.56
308	17.301250	80.011667	6.29
309	16.455000	4.908333	6.35
310	16.464167	4.909444	7.25
311	16.403333	-8.020833	6.12
312	16.750833	56.935000	6.43
313	16.521250	-8.160556	5.58
314	16.789583	53.498333	6.38
315	16.640000	12.956111	6.12
316	16.532083	-22.007500	6.14
317	17.068333	54.920278	5.17
318	16.520833	-45.281389	3.31
319	16.610417	-34.339167	6.61
320	17.003750	43.941944	5.03
321	16.804583	-22.003611	6.37
322	17.138750	58.263611	5.79
323	17.005417	32.012222	6.25
324	16.988333	20.739167	5.55
325	16.942500	-8.214444	5.82
326	17.092500	5.649722	5.52
327	16.949583	-40.513056	5.21
328	16.827917	-60.224722	5.37
329	18.069583	79.673889	5.64
330	17.147500	-9.817778	3.45
331	17.375833	47.241944	4.25
332	17.663750	68.778611	5.29
333	17.432917	35.620556	2.06
334	17.096250	-54.754167	3.92
335	17.455000	19.658611	5.55
336	17.578333	42.081389	5.65
337	17.580833	25.457778	5.80
338	17.856667	64.202778	5.55
339	17.775833	55.149722	4.33
340	17.547917	15.674167	6.06
341	17.922500	65.018889	5.57
342	17.550000	-7.093889	6.40
343	17.640000	2.445556	5.95
344	17.792917	37.724167	5.81
345	17.778333	31.424722	5.16
346	17.530833	-56.305556	6.41
347	17.863333	21.034722	4.66
348	17.915000	30.089722	4.51
349	17.931250	-1.748889	5.94
350	18.291250	61.705833	6.41
351	18.141667	45.337778	6.11
352	18.247917	30.064167	6.19
353	19.127917	79.910000	6.26
354	18.097500	-29.197778	6.52
355	18.189167	-36.143611	5.92
356	18.437083	24.583611	4.65
357	18.432917	7.575278	5.24
358	18.438750	7.578333	6.30
359	18.520833	28.529722	6.43
360	18.531667	16.133611	5.98
361	19.050417	71.743889	7.83
362	18.600000	-6.076944	5.13
363	18.676667	6.995278	6.03
364	18.705000	0.973889	5.70
365	19.102083	48.082222	6.61
366	18.796250	-44.468611	4.96
367	19.078333	33.114722	6.02
368	19.271250	44.901944	6.34
369	19.151250	-1.499722	5.41
370	19.350417	31.744722	6.73
371	20.081250	77.570556	6.31
372	19.542500	47.419722	6.25
373	18.942083	-67.123889	4.86
374	19.450000	3.614444	5.16
375	19.695833	37.386111	6.46
376	19.265000	-65.601944	6.24
377	20.496250	76.238889	6.38
378	20.020417	58.231667	4.98
379	19.866667	27.264167	4.76
380	20.271667	64.658333	6.34
381	19.951250	0.508889	5.87
382	20.945000	78.725833	6.07
383	20.143750	-2.753056	6.23
384	20.115833	-10.761111	6.15
385	20.280833	28.738056	5.23
386	20.585000	45.528889	4.88
387	20.840000	58.143056	6.45
388	20.654167	1.726389	6.20
389	20.645000	0.449722	6.49
390	20.627083	-18.918611	6.35
391	20.919167	37.715000	5.58
392	20.906250	34.245833	6.29
393	20.853750	20.468889	5.97
394	21.443750	70.980000	6.49
395	21.483333	68.130000	4.74
396	20.879167	-29.054444	5.84
397	21.010417	-7.992500	6.21
398	21.005833	-7.816667	3.60
399	21.454167	60.235278	2.68
400	21.085833	-5.085278	5.91
401	21.165833	-14.339722	6.14
402	21.202917	-1.151389	6.15
403	21.398750	23.511667	6.18
404	21.170000	-40.507500	5.42
405	21.577500	43.457778	5.96
406	21.536250	34.579722	6.31
407	21.174583	-43.471667	6.26
408	21.405000	-13.401111	4.90
409	21.563750	19.172222	5.38
410	21.673750	19.240278	5.50
411	21.775833	34.377500	6.27
412	21.613750	0.398611	6.41
413	21.914167	45.406667	4.83
414	21.860833	41.100556	6.46
415	21.722917	3.535278	6.58
416	21.272083	-63.630556	5.93
417	21.715000	-12.943333	5.66
418	21.945833	40.335556	6.60
419	21.742083	-31.456944	5.79
420	37.952917	89.264167	2.02
421	21.944167	-9.098333	6.13
422	22.095417	7.961389	6.20
423	22.807500	70.264722	5.81
424	22.717917	66.098056	6.14
425	22.091250	-42.681667	3.41
426	22.525833	47.007222	5.27
427	22.180417	-32.236389	6.58
428	22.470417	18.355556	6.02
429	22.400417	-20.370556	5.12
430	22.546250	6.143889	4.84
431	22.376667	-45.243611	6.31
432	22.595417	-25.792222	5.93
433	22.870833	15.345833	3.62
434	23.031667	34.800000	6.39
435	23.357500	58.327500	5.70
436	22.812917	-48.927222	3.95
437	22.930417	-29.716667	5.82
438	23.482917	59.231944	4.71
439	22.912917	-44.424444	6.17
440	23.264583	-8.985278	6.59
441	23.233333	-35.134722	5.51
442	23.569167	37.237222	5.88
443	23.151250	-48.272222	6.28
444	23.428750	-6.974722	5.76
445	24.343750	74.300833	6.58
446	23.704583	18.460556	5.89
447	23.657500	-14.323889	5.63
448	23.968750	41.076389	6.38
449	23.711250	-30.107778	6.12
450	24.113333	48.722778	5.92
451	23.943333	14.661389	6.22
452	24.628750	73.040000	5.28
