# BSCnumber	RA[deg]	dec[deg]	Vmagnitude	dist[pc]
678	83.784583	9.934167	3.54	142.857
679	83.785417	9.935000	5.61	142.857
680	83.753750	-5.990833	5.67	200.000
681	83.761250	-5.998056	4.78	200.000
682	83.846667	-3.161667	4.59	166.667
683	83.816250	-4.612778	6.73	1000.000
684	83.817083	-4.614722	7.96	1000.000
685	83.818750	-4.610278	5.13	1000.000
686	83.822083	-4.612222	6.70	1000.000
687	83.845417	-4.583889	5.08	1000.000
688	83.858333	-4.090000	2.77	40.000
689	83.914583	-3.144167	5.26	38.462
690	84.286667	26.924167	5.83	142.857
691	84.053333	-0.798056	1.70	500.000
692	84.265833	17.040278	5.54	34.483
693	84.226250	9.290556	4.09	33.333
694	84.411250	21.142500	3.00	125.000
695	84.658750	30.492500	5.40	200.000
696	83.248333	-63.772500	5.34	100.000
697	83.406250	-61.510278	3.76	83.333
698	85.334583	53.481111	6.23	12.346
699	84.686667	-1.400000	3.81	142.857
700	84.696250	-1.405833	6.65	142.857
701	84.435833	-27.310556	5.31	21.277
702	84.721250	-6.786944	4.80	23.810
703	85.323750	16.533889	4.86	71.429
704	85.189583	-0.057222	2.05	41.667
705	85.190000	-0.057222	4.21	41.667
706	82.970417	-75.658889	5.19	50.000
707	84.912083	-33.925833	2.64	1000.000
708	85.619167	1.474722	4.91	66.667
709	85.724167	-5.203889	6.02	52.632
710	86.475000	49.826389	5.47	52.632
711	87.270417	62.808056	6.13	100.000
712	86.110417	-21.578333	6.15	7.812
713	86.115833	-21.551667	3.60	7.812
714	86.645833	1.168056	5.95	37.037
715	86.805000	14.488333	5.72	47.619
716	86.928750	13.899722	5.29	500.000
717	88.231250	68.471389	6.20	250.000
718	87.293750	39.181111	4.52	142.857
719	87.093333	20.869444	6.07	1000.000
720	86.738750	-13.178056	3.55	20.408
721	87.000833	6.454167	5.27	43.478
722	87.254167	24.567500	4.86	200.000
723	86.939167	-8.330278	2.06	66.667
724	86.614167	-45.402778	5.31	55.556
725	87.760000	37.305556	4.74	500.000
726	87.872500	39.148611	3.97	58.824
727	86.193333	-64.264444	4.35	37.037
728	86.821250	-50.933611	3.85	16.393
729	87.402083	-13.516389	5.49	111.111
730	84.290833	-79.530833	5.65	22.727
731	88.740833	59.888333	5.20	111.111
732	88.711667	55.706944	4.99	83.333
733	88.331667	27.612222	4.58	47.619
734	87.830417	-19.120833	3.81	45.455
735	88.110000	1.855000	4.78	200.000
736	87.740000	-34.231667	3.12	43.478
737	87.457083	-55.833333	4.51	55.556
738	88.745833	31.701667	5.90	43.478
739	88.595417	20.276111	4.41	9.615
740	87.721667	-51.891111	5.17	43.478
741	88.198750	-37.474167	6.70	333.333
742	88.278750	-32.198611	4.87	28.571
743	88.792917	7.406944	0.50	200.000
744	87.473333	-65.098889	5.11	83.333
745	89.014583	13.925278	6.60	21.277
746	89.881667	54.284722	3.72	45.455
747	88.544583	-49.638056	6.52	29.412
748	89.101250	-13.832222	3.71	15.152
749	88.874583	-36.879167	4.97	90.909
750	89.882083	44.947500	1.90	24.390
751	89.983750	45.936944	4.26	333.333
752	88.709167	-51.364722	5.29	29.412
753	89.930417	37.212500	2.62	45.455
754	89.721667	12.808611	5.70	166.667
755	88.525417	-62.910000	4.65	20.833
756	89.706667	0.553056	5.22	250.000
757	89.767917	-8.441667	5.03	100.000
758	90.014167	-2.925833	4.53	45.455
759	90.825000	42.911667	6.10	71.429
760	89.786667	-41.184722	3.96	52.632
761	90.729583	32.635833	6.24	35.714
762	90.595833	9.647500	4.12	35.714
763	90.460000	-9.401944	4.95	333.333
764	91.030000	23.263333	4.16	32.258
765	90.980000	20.138333	4.63	40.000
766	91.535417	35.387500	6.12	21.739
767	91.646250	38.482778	5.36	250.000
768	91.246250	-15.515556	4.93	31.250
769	92.496250	58.935833	5.36	90.909
770	91.538750	-13.064722	4.67	83.333
771	91.118333	-44.963333	6.35	23.810
772	91.167500	-44.921111	5.93	30.303
773	91.892917	14.768333	4.42	31.250
774	91.195417	-47.541389	6.58	52.632
775	91.633333	-22.889444	5.47	71.429
776	93.212917	65.718333	5.32	250.000
777	92.902083	48.713056	6.82	100.000
778	92.902500	48.711111	6.09	100.000
779	92.241250	-21.572500	5.50	83.333
780	91.970417	-41.846111	5.50	62.500
781	92.449583	-21.225833	5.71	52.632
782	91.764167	-61.845278	5.05	76.923
783	93.079583	22.908333	6.39	333.333
784	92.985000	14.208889	4.48	1000.000
785	93.302500	10.627500	6.45	18.182
786	94.711667	69.319722	4.80	125.000
787	94.478333	61.515278	4.98	166.667
788	93.719167	22.506667	3.28	71.429
789	93.844583	29.498056	4.35	55.556
790	93.712083	19.156389	5.20	24.390
791	93.713750	-5.725278	3.98	76.923
792	93.892917	0.512222	5.65	27.778
793	93.858333	-8.964722	6.10	333.333
794	94.905833	59.010833	4.48	28.571
795	94.110833	12.272222	5.04	24.390
796	92.812500	-64.410556	5.01	111.111
797	94.277500	9.942500	5.39	76.923
798	94.317083	5.100278	5.71	20.000
799	94.264583	-21.285000	6.07	55.556
800	94.137917	-34.859444	4.37	40.000
801	95.515000	59.372222	5.94	200.000
802	94.423750	-15.184167	5.14	58.824
803	92.560000	-73.246944	5.09	8.696
804	95.442083	53.452222	5.36	45.455
805	94.077083	-58.786389	6.43	23.256
806	94.998333	-1.055556	4.90	1000.000
807	95.357500	2.268611	6.31	83.333
808	95.078333	-29.936667	3.02	250.000
809	95.740000	22.513611	2.88	50.000
810	96.224583	49.288056	4.91	142.857
811	95.025417	-47.258889	6.60	24.390
812	96.607500	56.285000	5.64	43.478
813	96.703750	58.417222	5.21	200.000
814	95.675000	-16.044167	1.98	52.632
815	95.528333	-32.563611	3.85	52.632
816	95.942083	4.592778	4.44	40.000
817	95.943750	4.595556	6.72	40.000
818	96.042917	-10.469722	5.22	62.500
819	95.948333	-18.214722	6.60	333.333
820	96.304583	7.085833	5.98	200.000
821	96.318333	0.946111	5.87	37.037
822	95.987917	-51.304167	-0.72	35.714
823	97.696667	58.162778	5.88	40.000
824	97.142083	30.493056	5.55	200.000
825	96.807500	0.299167	5.20	200.000
826	97.512500	46.685556	5.90	58.824
827	97.240833	20.212222	4.15	111.111
828	96.431667	-47.822778	5.76	333.333
829	96.796667	-24.143333	6.07	22.222
830	97.204167	-6.967222	4.60	47.619
831	97.206250	-6.965556	5.40	47.619
832	97.206250	-6.965556	5.60	47.619
833	97.042083	-31.420000	4.48	76.923
834	100.120000	77.995833	5.73	55.556
835	97.163333	-31.628889	5.74	166.667
836	99.478750	73.695556	6.24	25.641
837	97.789583	11.250833	6.14	111.111
838	97.951250	11.544444	5.23	100.000
839	96.369167	-68.309722	5.38	142.857
840	97.845833	-11.608333	5.15	45.455
841	97.454583	-49.760833	5.27	37.037
842	98.225833	7.333056	4.50	142.857
843	97.368750	-55.147222	5.22	100.000
844	99.422500	61.481111	5.94	37.037
845	98.088750	-36.303333	5.24	62.500
846	101.558750	79.564722	5.45	20.408
847	99.137083	38.445278	5.29	200.000
848	98.456250	-35.767778	5.42	33.333
849	98.764167	-21.035278	4.54	40.000
850	99.427917	16.399167	1.93	30.303
851	98.850417	-35.220000	5.59	90.909
852	99.832917	42.488889	4.79	250.000
853	99.170833	-18.744167	3.95	17.241
854	98.975000	-35.911111	6.35	35.714
855	99.170417	-21.385000	6.35	83.333
856	99.887917	28.263056	6.03	500.000
857	99.472500	-17.762500	4.43	76.923
858	99.448333	-31.660278	5.27	58.824
859	99.819583	-13.854167	4.82	333.333
860	100.244583	9.895556	4.66	250.000
861	100.770833	44.524444	5.02	52.632
862	99.927917	-29.529722	5.71	52.632
863	99.656667	-47.779722	4.93	83.333
864	100.485000	-8.832778	5.19	32.258
865	101.558750	59.441667	4.87	90.909
866	100.982917	25.131111	2.98	58.824
867	100.997083	13.227778	4.49	142.857
868	100.568333	-37.601389	6.29	333.333
869	101.684583	43.577500	5.25	14.706
870	101.322500	12.895556	3.36	18.182
871	102.053750	55.704444	6.33	31.250
872	102.051250	55.704444	6.28	31.250
873	102.737917	67.571944	5.14	100.000
874	101.287083	-15.283889	-1.46	2.667
875	101.216250	-26.658611	6.45	16.129
876	101.497083	-13.203889	5.32	41.667
877	101.847917	18.193333	6.20	62.500
878	101.345000	-30.206389	5.92	19.608
879	101.380417	-29.051111	5.80	200.000
880	101.832500	8.037222	4.77	76.923
881	101.965000	2.412222	4.47	58.824
882	101.904583	-7.001667	5.07	500.000
883	103.425833	68.888333	5.12	500.000
884	102.691250	41.781389	5.02	333.333
885	103.271250	59.448611	5.33	200.000
886	102.240833	-14.855278	5.39	250.000
887	101.720000	-50.734167	5.40	55.556
888	101.672917	-53.305278	6.46	250.000
889	105.016667	76.977500	4.55	43.478
890	102.433333	-23.924167	6.33	500.000
891	102.887500	21.761111	5.27	100.000
892	102.707917	0.540833	5.77	27.778
893	103.197083	33.961111	3.60	47.619
894	103.305833	38.438056	6.30	200.000
895	102.477500	-45.385278	5.14	20.408
896	102.718333	-33.632778	4.99	76.923
897	102.047500	-60.058611	3.27	19.231
898	102.463750	-52.377778	4.40	40.000
899	104.318750	58.422500	4.35	71.429
900	103.661250	13.177778	4.65	23.256
901	103.827500	25.375556	5.73	18.182
902	103.535417	-4.147500	6.41	333.333
903	103.602500	-0.873056	5.45	111.111
904	103.547500	-11.961389	4.07	45.455
905	103.391250	-27.460278	6.04	23.810
906	103.532917	-23.816111	3.87	500.000
907	104.404583	45.094167	4.90	166.667
908	103.905833	-19.863611	4.68	29.412
909	104.027500	-13.956389	5.00	500.000
910	103.509583	-49.388333	6.26	333.333
911	104.034167	-16.945833	4.37	200.000
912	104.697500	26.081111	6.10	40.000
913	104.391250	-23.369444	5.46	62.500
914	104.066667	-47.278889	4.95	333.333
915	115.127083	87.020000	5.07	333.333
916	104.323333	-34.492500	6.23	14.493
917	104.656250	-27.027778	1.50	1000.000
918	105.603333	24.215278	5.18	83.333
919	105.485000	-4.277778	5.20	333.333
920	105.876667	29.337222	5.93	16.949
921	106.415833	52.758056	6.12	90.909
922	105.429583	-26.065278	3.47	41.667
923	105.908333	10.951667	5.13	90.909
924	106.027083	20.570278	3.79	166.667
925	105.214583	-50.597500	5.14	71.429
926	106.548333	34.473889	5.55	27.778
927	104.960417	-66.083889	5.17	27.027
928	106.011667	-41.662778	5.20	40.000
929	105.988750	-42.391944	5.54	19.231
930	105.995000	-42.388333	6.79	19.231
931	105.973750	-48.416111	4.93	50.000
932	105.815000	-58.821944	5.50	71.429
933	106.383333	-33.222222	6.14	29.412
934	106.076250	-55.250278	5.17	66.667
935	107.091667	15.930833	5.44	142.857
936	107.527917	21.246944	6.43	34.483
937	107.097917	-25.606667	1.84	90.909
938	107.913750	39.320556	4.90	43.478
939	107.785000	30.245278	4.41	142.857
940	107.557083	-3.762778	4.92	33.333
941	108.347500	51.428889	5.47	333.333
942	107.848333	0.301944	5.45	47.619
943	108.204167	27.224722	6.43	37.037
944	107.966250	0.492778	4.15	62.500
945	108.978750	59.637500	5.20	23.810
946	108.342917	16.158889	5.00	90.909
947	107.697917	-47.067778	5.14	32.258
948	108.958750	47.240000	5.58	27.027
949	108.107083	-35.455556	5.96	250.000
950	108.065833	-39.501111	5.31	111.111
951	107.175833	-69.502778	5.69	62.500
952	107.187083	-69.501111	3.78	62.500
953	108.987917	27.897500	5.71	125.000
954	108.140000	-45.240556	4.49	20.833
955	112.768333	82.411389	4.96	1000.000
956	108.830417	0.161389	6.41	90.909
957	108.305833	-44.816944	4.89	100.000
958	108.385000	-43.360278	5.10	45.455
959	109.632917	49.465000	5.05	125.000
960	108.008333	-62.810000	6.02	200.000
961	109.060417	-14.414167	5.46	24.390
962	109.523333	16.540278	3.58	21.277
963	109.153333	-22.684444	4.79	52.632
964	109.145833	-26.118889	4.64	83.333
965	110.571667	59.901944	6.35	66.667
966	109.285833	-36.902500	2.70	31.250
967	110.030833	21.982222	3.53	16.393
968	110.712083	55.284444	6.53	90.909
969	110.717083	55.281389	5.45	90.909
970	109.713333	-25.414167	5.28	58.824
971	109.867083	-15.605000	5.70	25.000
972	109.640000	-38.789722	5.25	71.429
973	110.510833	36.760556	5.13	45.455
974	110.486667	20.443611	5.10	500.000
975	109.207500	-66.042778	3.98	250.000
976	111.035417	40.672222	5.19	142.857
977	110.868750	25.050556	5.03	45.455
978	110.089167	-51.688333	6.05	26.316
979	110.090417	-51.690278	6.60	26.316
980	111.678333	49.211389	4.64	83.333
981	111.242500	11.669722	5.30	66.667
982	111.431667	27.798056	3.79	31.250
983	110.871250	-26.165833	5.38	76.923
984	111.412083	9.276111	4.99	125.000
985	112.719583	68.465556	5.64	90.909
986	111.284583	-12.248056	5.78	27.027
987	111.182500	-30.191111	5.35	47.619
988	111.709167	21.535833	6.54	26.316
989	111.196667	-36.710000	6.97	333.333
990	111.197083	-36.709167	6.84	333.333
991	111.787500	8.289444	2.90	52.632
992	111.935000	21.445000	5.22	24.390
993	112.483333	49.672500	5.36	23.810
994	112.008750	6.941944	5.25	100.000
995	112.277917	31.784444	4.18	16.129
996	112.040833	8.925556	4.32	52.632
997	112.335000	28.118056	5.05	125.000
998	112.452917	27.916111	5.01	55.556
999	111.591250	-50.981667	5.10	142.857
1000	112.449167	12.006667	4.54	34.483
1001	112.341250	-13.000833	6.05	37.037
1002	112.464167	-22.975556	4.85	333.333
1003	112.951667	17.086111	5.42	1000.000
1004	112.307500	-42.698611	3.25	50.000
1005	113.024583	1.914444	5.25	62.500
1006	112.677083	-29.037778	4.65	43.478
1007	113.402083	15.826667	5.25	90.909
1008	113.650000	31.888611	2.88	14.925
1009	113.650000	31.888333	1.98	14.925
1010	113.786250	30.961111	5.33	333.333
1011	113.983333	43.031111	6.30	200.000
1012	113.449583	-13.476111	4.97	333.333
1013	113.980417	26.895833	4.06	71.429
1014	113.513333	-21.703889	4.45	18.519
1015	113.577500	-22.526389	5.83	43.478
1016	113.579583	-22.525278	5.87	43.478
1017	111.408333	-78.905833	5.53	500.000
1018	114.319583	-3.888889	5.13	35.714
1019	114.791250	34.584167	4.90	47.619
1020	113.915417	-51.466111	4.94	83.333
1021	114.869167	17.674722	5.05	111.111
1022	115.301667	48.131667	5.56	111.111
1023	114.825417	5.225000	0.38	3.472
1024	115.751667	58.710278	4.99	55.556
1025	114.705417	-25.198333	4.50	100.000
1026	114.707500	-25.196389	4.62	100.000
1027	115.029167	5.230833	6.02	71.429
1028	115.096667	-14.736389	4.94	200.000
1029	114.932500	-37.860556	5.73	166.667
1030	115.513333	14.208333	5.56	166.667
1031	116.017500	50.433889	5.27	66.667
1032	115.311667	-8.448889	3.93	41.667
1033	115.827917	28.883611	4.28	55.556
1034	113.840417	-73.724444	7.16	100.000
1035	113.840833	-73.724444	7.26	100.000
1036	116.028750	25.784167	5.31	142.857
1037	116.111667	24.398056	3.57	38.462
1038	116.328750	28.026111	1.14	10.638
1039	115.885000	-27.588889	4.59	55.556
1040	115.924583	-39.066111	5.17	38.462
1041	116.530833	18.510000	4.88	71.429
1042	116.567500	10.768333	5.30	45.455
1043	116.876250	33.415556	5.14	83.333
1044	116.487083	-13.436111	5.04	32.258
1045	116.313750	-36.031389	3.61	166.667
1046	116.395833	-33.826944	5.37	15.625
1047	115.455000	-71.393889	3.95	58.824
1048	116.986250	-11.806944	5.48	76.923
1049	116.854167	-37.488889	5.08	250.000
1050	117.257083	-23.087778	5.33	27.778
1051	117.323750	-23.140278	3.34	333.333
1052	117.084583	-46.922222	4.71	166.667
1053	117.697500	3.277222	6.18	333.333
1054	117.925000	1.766944	5.14	83.333
1055	117.942917	-12.101944	5.17	16.129
1056	120.048750	73.918056	5.41	45.455
1057	118.065417	-33.294722	5.01	13.514
1058	118.054167	-39.424167	3.73	32.258
1059	121.196250	79.479722	5.42	47.619
1060	118.161250	-37.136944	4.49	83.333
1061	118.264583	-35.636111	5.43	28.571
1062	118.916250	19.883889	5.35	111.111
1063	119.317500	1.126944	6.35	200.000
1064	119.214583	-21.120000	4.20	43.478
1065	118.721667	-56.696944	5.63	111.111
1066	119.585833	2.224722	5.29	37.037
1067	119.417083	-29.665278	4.79	40.000
1068	119.194583	-51.017778	3.47	250.000
1069	119.333333	-46.109722	6.22	142.857
1070	120.649167	57.273611	6.49	26.316
1071	119.465833	-44.422222	5.17	111.111
1072	119.933750	-2.320278	4.93	125.000
1073	119.773750	-22.689444	5.11	333.333
1074	120.252917	23.583056	6.34	100.000
1075	119.966667	-17.600833	4.61	47.619
1076	119.445417	-59.696667	5.60	16.129
1077	119.868333	-38.702778	5.24	26.316
1078	120.305417	-0.607500	4.68	111.111
1079	120.566250	2.334444	4.39	41.667
1080	120.879583	27.794167	4.94	62.500
1081	120.608333	-5.662778	6.33	142.857
1082	119.906667	-59.413056	5.17	1000.000
1083	121.268750	13.118056	5.12	43.478
1084	121.404167	27.529722	6.21	142.857
1085	121.067500	-31.325000	5.31	41.667
1086	122.114167	51.506667	4.84	111.111
1087	121.940833	21.581667	5.30	29.412
1088	121.266667	-52.891944	5.53	50.000
1089	123.203333	68.474167	5.32	47.619
1090	121.825000	-19.445278	5.38	1000.000
1091	121.885833	-23.695833	2.81	28.571
1092	121.668333	-44.733611	5.05	90.909
1093	122.148333	-1.016111	4.34	333.333
1094	122.613333	25.507222	5.73	34.483
1095	122.665833	-12.200833	5.54	21.277
1096	122.448750	-41.359444	6.26	58.824
1097	122.383333	-46.663333	1.78	58.824
1098	123.052917	17.647778	5.63	25.641
1099	123.052917	17.647778	6.02	25.641
1100	123.055417	17.647778	6.20	25.641
1101	122.817917	-11.073056	4.72	32.258
1102	122.887500	-6.227500	5.36	83.333
1103	122.252917	-60.697500	4.76	18.182
1104	122.839583	-38.381389	4.45	166.667
1105	122.857917	-41.012778	4.75	250.000
1106	123.333333	-14.211667	4.99	33.333
1107	123.512083	-39.651944	4.44	100.000
1108	123.392083	-49.803889	5.51	142.857
1109	124.141250	11.726389	7.13	47.619
1110	124.128750	9.185556	3.52	83.333
1111	123.968750	-29.074167	6.21	111.111
1112	124.599583	-11.368056	5.98	12.195
1113	123.816250	-61.084167	5.16	32.258
1114	125.016250	27.217778	5.14	16.393
1115	125.683750	60.631111	6.41	66.667
1116	124.552500	-36.625833	6.70	111.111
1117	124.638750	-35.340556	4.45	17.544
1118	125.708750	43.188056	4.25	43.478
1119	125.952083	53.219722	5.51	33.333
1120	125.334167	-0.397778	6.50	111.111
1121	124.578750	-64.386667	5.07	76.923
1122	125.345833	-32.945556	4.83	33.333
1123	125.840833	18.332222	5.95	90.909
1124	125.707917	-25.651944	5.90	111.111
1125	126.145833	-2.248889	5.61	17.544
1126	126.457917	17.046111	6.14	28.571
1127	126.478333	7.564444	5.13	62.500
1128	126.903333	45.653056	6.32	21.739
1129	126.695000	26.934444	6.32	100.000
1130	126.695833	26.935278	6.30	100.000
1131	126.665833	24.534167	7.02	47.619
1132	126.667083	24.535278	7.81	47.619
1133	126.415000	-2.093611	3.90	38.462
1134	126.265417	-23.953889	5.28	32.258
1135	124.631667	-75.080278	4.07	18.868
1136	126.682917	12.654444	5.50	33.333
1137	126.613333	-2.012500	5.59	35.714
1138	127.566250	60.718056	3.36	111.111
1139	126.573333	-38.940556	6.53	200.000
1140	126.575833	-38.939722	7.25	200.000
1141	125.518333	-72.600000	5.29	100.000
1142	127.121667	-1.482778	6.39	66.667
1143	125.160417	-76.515556	4.35	27.778
1144	126.434167	-65.863056	3.77	23.810
1145	126.902083	-52.911389	5.09	47.619
1146	128.650833	65.145000	5.47	58.824
1147	128.229167	38.016389	5.90	90.909
1148	128.340833	36.436389	6.24	31.250
1149	128.177083	20.441111	5.33	76.923
1150	127.878750	-18.422500	5.42	333.333
1151	128.250417	24.084722	6.36	37.037
1152	129.927500	73.629722	6.15	66.667
1153	128.270000	-23.393611	6.19	62.500
1154	128.214583	-30.499167	6.38	11.628
1155	129.798750	65.020833	5.64	13.699
1156	128.962500	6.620000	5.99	19.231
1157	128.963750	6.622500	7.25	19.231
1158	130.053333	64.327778	4.60	62.500
1159	128.681667	-48.055833	5.01	111.111
1160	129.414167	5.703611	4.16	30.303
1161	128.831667	-57.990833	4.86	58.824
1162	129.689167	3.341389	4.44	28.571
1163	129.467500	-25.745000	5.27	26.316
1164	129.332917	-39.852500	6.55	16.949
1165	130.254583	45.833889	5.37	66.667
1166	129.667917	-18.263056	6.33	200.000
1167	129.411250	-41.010833	4.14	55.556
1168	129.783333	-21.338056	5.05	15.873
1169	130.006250	-11.524722	4.98	43.478
1170	129.328333	-61.146389	5.47	50.000
1171	129.927083	-28.438889	4.89	47.619
1172	129.842083	-35.393056	6.13	41.667
1173	130.025833	-34.691667	3.97	55.556
1174	130.430417	-14.056667	4.88	31.250
1175	129.805000	-59.682778	6.36	76.923
1176	130.156667	-45.351111	3.84	32.258
1177	130.821250	21.468611	4.66	62.500
1178	130.181667	-56.454722	6.34	45.455
1179	130.918333	-6.766389	4.62	142.857
1180	129.771667	-69.613056	5.20	166.667
1181	131.171250	18.154167	3.94	40.000
1182	131.339167	30.697778	6.13	125.000
1183	131.336667	-1.399167	6.41	200.000
1184	131.666667	28.765278	6.57	58.824
1185	131.674167	28.760000	4.02	58.824
1186	131.100000	-41.350833	4.07	19.608
1187	131.694167	6.418889	3.38	37.037
1188	131.593750	-12.452222	4.32	76.923
1189	131.175833	-53.291667	1.96	19.608
1190	131.812500	-0.102778	5.29	50.000
1191	131.507083	-45.958333	3.91	333.333
1192	131.272083	-57.275000	6.21	166.667
1193	132.108333	5.837778	4.36	71.429
1194	131.918750	-40.262778	6.36	34.483
1195	132.986667	43.726667	5.15	55.556
1196	132.464583	-31.219444	5.21	35.714
1197	132.413333	-39.679444	5.48	27.778
1198	132.632917	-26.290000	4.01	30.303
1199	132.448750	-44.691944	4.93	83.333
1200	133.119167	28.259167	6.23	1000.000
1201	133.149167	28.330833	5.95	13.514
1202	132.893750	-6.822778	5.54	90.909
1203	133.561250	30.579444	5.39	200.000
1204	132.645000	-65.206944	5.35	32.258
1205	133.574583	-4.565556	6.00	11.765
1206	133.915417	27.927500	5.22	200.000
1207	133.845417	17.231389	6.64	142.857
1208	133.848333	5.945556	3.11	28.571
1209	133.461250	-46.479167	5.33	52.632
1210	133.872917	-6.029722	6.91	250.000
1211	133.873333	-6.028889	6.67	250.000
1212	134.235833	32.910278	5.45	90.909
1213	133.881250	-26.318056	4.89	27.027
1214	134.801667	48.041667	3.14	13.333
1215	134.621667	11.857778	4.25	41.667
1216	134.080833	-51.276389	4.69	50.000
1217	135.636250	67.629722	4.76	71.429
1218	134.795000	18.134722	6.38	500.000
1219	134.682917	-15.867222	5.86	35.714
1220	135.160000	41.782778	3.97	14.286
1221	134.717917	-46.765278	5.18	76.923
1222	135.022500	-40.746111	4.45	33.333
1223	135.906250	47.156667	3.60	62.500
1224	135.684583	24.452778	5.45	333.333
1225	134.850417	-58.916389	5.16	18.519
1226	135.435833	-51.811667	5.23	125.000
1227	137.098333	66.873333	5.14	90.909
1228	136.632500	38.452222	4.56	47.619
1229	136.493333	5.092222	4.97	90.909
1230	136.038750	-46.902222	3.75	50.000
1231	135.611667	-65.603889	4.00	19.608
1232	137.596667	67.134722	4.80	17.857
1233	136.862083	22.981111	6.40	250.000
1234	137.197083	26.629167	5.98	25.000
1235	137.012083	-24.141667	4.58	76.923
1236	136.999167	-42.567500	2.21	45.455
1237	136.286667	-71.397222	4.48	41.667
1238	138.969167	72.946111	5.96	43.478
1239	138.585833	61.423333	5.13	21.277
1240	138.073333	14.996111	6.51	15.625
1241	138.127500	-42.386389	5.57	200.000
1242	139.047083	54.021944	4.83	23.810
1243	138.591250	2.314167	3.88	37.037
1244	138.602083	-42.772500	5.25	90.909
1245	138.575000	-54.430278	5.27	66.667
1246	138.810833	-44.444444	6.25	166.667
1247	139.173750	-5.646944	5.24	125.000
1248	138.902917	-37.430000	4.94	37.037
1249	138.937917	-36.586667	4.62	15.625
1250	138.300000	-68.282778	1.68	47.619
1251	139.608333	35.364167	5.75	200.000
1252	139.711250	36.802500	3.82	23.810
1253	139.096250	-43.734167	5.12	58.824
1254	139.238333	-38.598611	5.33	37.037
1255	139.050833	-56.458611	4.34	40.000
1256	140.182500	51.266111	6.13	27.778
1257	139.272500	-58.724722	2.25	58.824
1258	140.247083	38.188333	6.12	55.556
1259	140.263750	34.392500	3.13	40.000
1260	139.943333	-10.025000	4.79	43.478
1261	140.120833	-8.444167	4.80	45.455
1262	139.321667	-67.310556	5.39	17.241
1263	140.373333	-24.034444	4.72	100.000
1264	140.236667	-61.595278	4.81	58.824
1265	141.163750	26.182222	4.46	333.333
1266	140.801250	-27.166111	4.69	26.316
1267	140.528333	-54.989167	2.50	76.923
1268	141.385417	16.585556	6.29	62.500
1269	141.686667	-27.212500	6.10	200.000
1270	141.896667	-7.341389	1.98	45.455
1271	141.826667	-21.656111	4.69	33.333
1272	141.945000	-5.928889	5.38	26.316
1273	144.271667	81.326389	4.29	58.824
1274	142.114583	9.056667	5.41	29.412
1275	142.882083	63.061944	3.67	24.390
1276	142.259167	-0.743056	6.27	83.333
1277	142.287083	-1.231111	4.60	13.889
1278	142.311250	-34.048611	4.51	200.000
1279	143.620417	69.830278	4.56	23.810
1280	142.930000	22.968056	4.31	50.000
1281	143.214167	51.677222	3.17	19.231
1282	141.776667	-70.397778	5.47	27.778
1283	142.689167	-30.108611	7.00	1000.000
1284	142.692083	-30.110556	6.18	1000.000
1285	142.986250	11.299722	4.97	35.714
1286	142.675000	-39.533333	3.60	15.385
1287	142.995417	-0.815000	4.57	37.037
1288	142.887083	-34.285000	5.87	250.000
1289	143.706250	52.051389	4.50	40.000
1290	142.805417	-56.965556	3.13	45.455
1291	144.484167	73.080556	6.42	58.824
1292	143.080417	-39.350556	5.35	41.667
1293	143.302083	-20.884167	5.01	19.231
1294	143.915000	35.810278	5.41	9.174
1295	143.435417	-48.995000	5.12	66.667
1296	143.970417	14.379722	6.36	166.667
1297	144.302917	6.835833	5.00	52.632
1298	144.105417	-47.248611	6.17	47.619
1299	144.613750	4.649167	4.68	90.909
1300	144.206667	-48.644722	4.35	52.632
1301	144.506250	-42.808889	5.50	50.000
1302	144.964167	-0.857222	3.91	38.462
1303	145.501250	39.757778	5.62	55.556
1304	145.287500	9.892222	3.52	29.412
1305	145.410417	25.912778	6.24	76.923
1306	145.560000	-22.084444	4.94	12.500
1307	145.177083	-56.016389	5.32	32.258
1308	146.050417	-26.230556	4.79	18.868
1309	146.462917	23.774167	2.98	100.000
1310	147.147500	46.021111	5.09	13.699
1311	146.889583	11.428889	6.02	50.000
1312	146.311667	-61.492222	3.69	37.037
1313	147.747500	59.038611	3.80	24.390
1314	146.775417	-64.928056	3.01	37.037
1315	146.777917	-64.927500	6.26	37.037
1316	148.026667	54.064444	4.59	31.250
1317	147.970833	24.395278	5.32	25.000
1318	146.585833	-75.223889	5.45	52.632
1319	147.869583	-13.153333	4.12	47.619
1320	148.190833	26.006944	3.88	40.000
1321	148.050833	2.454167	6.02	90.909
1322	148.126667	-7.895000	5.05	76.923
1323	147.920000	-45.452222	4.58	142.857
1324	148.241667	-26.667778	6.30	66.667
1325	148.929167	49.820000	5.27	40.000
1326	148.551250	-24.067500	4.88	32.258
1327	149.306667	57.418333	5.93	142.857
1328	148.717500	-18.990556	4.94	90.909
1329	149.108333	8.933056	5.85	90.909
1330	149.421250	41.055556	5.14	25.000
1331	149.555833	12.444722	5.26	55.556
1332	149.717917	-34.108889	5.23	34.483
1333	150.053333	8.044167	4.70	58.824
1334	150.252917	31.923611	5.36	18.868
1335	150.892917	-60.116111	6.14	125.000
1336	151.857500	35.244722	4.48	20.000
1337	151.833333	16.762778	3.52	333.333
1338	151.547083	-46.630000	5.08	58.824
1339	151.984583	0.371667	4.49	66.667
