# BSCnumber	RA[deg]	dec[deg]	Vmagnitude	dist[pc]
154	20.585000	45.528889	4.88	38.462
155	20.840000	58.143056	6.45	200.000
156	20.627083	-18.918611	6.35	125.000
157	21.483333	68.130000	4.74	76.923
158	21.005833	-7.816667	3.60	24.390
159	21.454167	60.235278	2.68	27.027
160	21.085833	-5.085278	5.91	43.478
161	21.170000	-40.507500	5.42	83.333
162	21.405000	-13.401111	4.90	142.857
163	21.563750	19.172222	5.38	26.316
164	21.673750	19.240278	5.50	76.923
165	21.613750	0.398611	6.41	43.478
166	21.914167	45.406667	4.83	33.333
167	21.722917	3.535278	6.58	62.500
168	37.952917	89.264167	2.02	142.857
169	22.807500	70.264722	5.81	25.641
170	22.717917	66.098056	6.14	1000.000
171	22.525833	47.007222	5.27	66.667
172	22.400417	-20.370556	5.12	35.714
173	22.546250	6.143889	4.84	55.556
174	22.870833	15.345833	3.62	66.667
175	22.812917	-48.927222	3.95	32.258
176	23.482917	59.231944	4.71	47.619
177	23.233333	-35.134722	5.51	142.857
178	23.569167	37.237222	5.88	55.556
179	24.628750	73.040000	5.28	58.824
180	24.199167	41.405556	4.09	16.129
181	23.813333	-57.860556	6.01	90.909
182	24.035000	-28.092500	5.69	40.000
183	24.498333	48.628333	3.57	47.619
184	24.407083	-8.596111	6.24	41.667
185	24.837500	44.386111	4.98	111.111
186	24.428750	-56.763333	0.46	38.462
187	25.732917	70.622500	5.18	250.000
188	25.446667	42.613611	4.95	12.346
189	25.326667	25.745833	6.17	43.478
190	24.947500	-55.801944	5.87	6.579
191	24.949167	-55.805278	5.76	6.579
192	25.357917	5.487500	4.44	24.390
193	25.436250	-10.675278	5.75	28.571
194	25.624167	20.268611	5.24	8.403
195	25.915000	50.688611	4.07	40.000
196	25.535833	-31.673056	5.25	200.000
197	26.074583	57.536389	6.21	333.333
198	25.681250	-2.309722	4.99	111.111
199	26.232500	20.083056	6.27	37.037
200	26.017083	-14.062500	3.50	3.636
201	26.348333	9.157778	4.26	43.478
202	26.936667	63.852222	5.63	9.346
203	26.411667	-24.947500	5.31	27.027
204	26.524167	-49.183611	5.49	43.478
205	26.526250	-52.478056	5.04	43.478
206	27.173333	32.690278	5.79	26.316
207	27.315417	47.896944	5.82	125.000
208	27.535417	22.275278	5.86	58.824
209	27.396250	-9.313611	4.67	21.739
210	27.453333	-37.596111	6.37	45.455
211	27.865000	-9.665000	3.73	32.258
212	28.598750	63.670000	3.38	100.000
213	28.322083	40.729722	5.40	166.667
214	28.270417	29.578889	3.41	17.544
215	28.382500	19.295833	4.83	38.462
216	28.382500	19.293611	4.75	38.462
217	28.388750	3.187500	4.62	200.000
218	28.660000	20.808056	2.64	13.514
219	28.411667	-45.697500	4.41	90.909
220	28.974167	1.849722	6.01	40.000
221	29.167500	-21.473056	4.85	83.333
222	28.989583	-50.391111	3.70	17.241
223	29.482083	23.596111	4.79	35.714
224	29.250417	-50.233889	6.10	17.857
225	29.291667	-46.615000	4.83	47.619
226	30.489167	70.906944	4.54	28.571
227	30.793750	73.850556	6.23	250.000
228	31.280833	77.281389	5.38	35.714
229	30.038333	3.097222	5.88	29.412
230	30.001250	-20.922222	4.00	142.857
231	29.911667	-41.969444	5.57	55.556
232	29.692500	-60.430278	2.86	20.833
233	31.380000	76.115000	5.22	45.455
234	30.311250	-29.998333	5.35	58.824
235	30.511667	2.763611	5.23	200.000
236	30.511667	2.763611	4.33	200.000
237	30.741667	33.283889	5.50	100.000
238	30.426667	-43.286389	5.14	52.632
239	30.975000	42.329722	2.26	76.923
240	30.977917	42.330833	4.84	76.923
241	30.913750	25.935556	5.63	40.000
242	31.793333	23.462500	2.00	20.408
243	32.122083	37.859167	4.82	166.667
244	32.385833	34.987222	3.00	45.455
245	32.720000	39.039444	5.63	100.000
246	32.723750	39.043056	6.10	100.000
247	32.837917	8.569722	5.63	29.412
248	32.606667	-49.175556	6.12	11.111
249	33.092917	30.303056	4.94	250.000
250	33.401250	51.065833	5.31	111.111
251	33.510833	47.484167	6.06	27.778
252	33.250000	8.846667	4.37	45.455
253	33.197917	-1.606389	5.54	22.222
254	33.227083	-29.276111	5.28	15.625
255	33.928333	25.043056	5.58	66.667
256	34.263333	34.224167	4.87	10.753
257	34.328750	33.847222	4.01	25.641
258	33.561250	-66.158333	5.55	76.923
259	34.820000	47.380000	5.30	66.667
260	34.505833	1.757778	5.58	26.316
261	34.836250	-1.022500	3.04	41.667
262	34.743750	-24.054444	6.34	11.236
263	36.103750	50.006667	5.19	1000.000
264	35.635833	-22.183611	5.20	12.987
265	36.405833	50.278611	4.71	90.909
266	35.437083	-67.340556	4.09	20.000
267	37.266667	67.402500	4.52	43.478
268	36.487500	-11.709444	4.89	34.483
269	36.501250	-14.658889	5.83	66.667
270	36.224583	-59.688056	5.35	43.478
271	37.039583	8.460000	4.28	33.333
272	37.007083	-32.188889	5.14	66.667
273	37.635000	25.235000	5.92	45.455
274	37.875417	2.267222	5.25	24.390
275	38.021667	-14.755278	4.75	28.571
276	39.508333	72.818333	5.16	90.909
277	38.945000	34.687500	5.35	62.500
278	39.020417	6.886944	5.82	6.803
279	38.968750	5.593333	4.86	500.000
280	39.260417	34.263889	5.30	125.000
281	39.157917	12.447500	5.68	28.571
282	39.240417	24.648333	7.09	55.556
283	39.252083	24.647500	6.50	55.556
